,state,fy,total_state_support,total_state_and_local_support,total_financial_aid,education_appropriations,general_public_operations,state_public_financial_aid_as_a_percent_of_education_appropriations,net_tuition_and_fee_revenue,student_share,total_education_revenue,student_share,net_fte_enrollment,state_tax_appropriations,state_public_financial_aid,out-of-state_financial_aid,institutional_discounts_and_waivers,tuition_and_fees_used_for_debt_service,gross_fte_enrollment,region,tax_appropriations,non-tax_support,other_state_support,"two-year_
public_operating","four-year_
public_operating","state_
financial_aid"
0,Alabama,2021,1811827765,1812627765,105744436.0,1396841206,1300857122.0,0.0687151006053583,2471929168,0.669302222754017,3693292931,0.669302222754017,194930,1811827765.0,95984084.0,0.0,0.0,175477443.0,206699.0,Southeast,1811827765.0,0.0,0.0,400802065.0,876451855.0,105744436.0
1,Alaska,2021,319473162,320343162,17676252.0,291395636,261313966.0,0.0454690028370912,85410414,0.226669433784304,376806050,0.226669433784304,13739,302852395.0,13249469.0,3104700.0,17515588.0,0.0,13739.0,Far West,302852395.0,0.0,0.0,0.0,260443966.0,17676252.0
2,Arizona,2021,1096027476,2030901976,15390000.0,1793088176,1652671476.0,0.00619975088163205,2635063700,0.610646694357497,4315201776,0.610646694357497,292192,808267300.0,11116700.0,4078000.0,1105241600.0,112950100.0,293039.0,Southwest,808267300.0,5224700.0,153235476.0,95387679.0,619923997.0,15390000.0
3,Arkansas,2021,1020938332,1061397579,128461772.0,810551303,690458133.0,0.132123863848751,650333862,0.491219137121051,1323918009,0.491219137121051,105044,881111996.0,107093170.0,6252875.0,144567254.0,136967156.0,107870.0,Southeast,881111996.0,124505311.0,2321025.0,170126543.0,455907620.0,128461772.0
4,California,2021,17183783819,20510707141,2342630000.0,19286945157,17112363141.0,0.109950383471192,4955669880,0.20441977370991,24242615037,0.20441977370991,1608718,16616536819.0,2120607016.0,0.0,2538110580.0,0.0,1624861.0,Far West,16616536819.0,511730000.0,1542000.0,7779339000.0,5897486819.0,2342630000.0
5,Colorado,2021,1069929511,1176721131,215640219.0,1087689686,425103946.0,0.187759066421818,2053069813,0.653685776849098,3140759499,0.653685776849098,179676,581628482.0,204223600.0,88347.0,,,186593.0,Rocky Mountain,581628482.0,29938889.0,0.0,107593979.0,204404150.0,215640219.0
6,Connecticut,2021,1366405227,1366405227,33348502.0,1022882345,986287800.0,0.0270929136038613,931012166,0.476490496676563,1953894511,0.476490496676563,74538,1357516755.0,27712863.0,0.0,0.0,0.0,75191.0,New England,1357516755.0,0.0,6790.0,283326102.0,695771871.0,33348502.0
7,Delaware,2021,306652829,306652829,16279299.0,296272848,235342100.0,0.0529484902376204,700687518,0.708492838359171,988983205,0.708492838359171,36409,261409281.0,15687200.0,383430.0,0.0,7977161.0,36409.0,Mideast,261409281.0,0.0,0.0,85796400.0,149164500.0,16279299.0
8,Florida,2021,5653827098,5702030276,1093756186.0,4956434291,4050828838.0,0.177695631030408,1370479073,0.216611006687399,6326913364,0.216611006687399,595444,4294124536.0,880736719.0,0.0,393779637.0,0.0,601143.0,Southeast,4294124536.0,1307349624.0,27484204.0,1277942716.0,2714686217.0,1093756186.0
9,Georgia,2021,3678960573,3678960573,842625353.0,3208418812,2418466551.0,0.237000379487863,1623983258,0.336067318404763,4832315340,0.336067318404763,356921,2772013294.0,760396476.0,673200.0,660000252.0,86730.0,364694.0,Southeast,2772013294.0,829538236.0,47853258.0,439378341.0,1748772331.0,842625353.0
