,interest,fy,unemployment,inflation
0,0.08,2021,3.9,4.7
1,0.08,2021,4.2,4.7
2,0.08,2021,4.5,4.7
3,0.08,2021,4.8,4.7
4,0.08,2021,5.2,4.7
5,0.08,2021,5.4,4.7
6,0.08,2021,5.9,4.7
7,0.08,2021,5.8,4.7
8,0.08,2021,6.1,4.7
9,0.08,2021,6.1,4.7
10,0.08,2021,6.2,4.7
11,0.08,2021,6.3,4.7
12,0.08,2021,3.9,4.7
13,0.08,2021,4.2,4.7
14,0.08,2021,4.5,4.7
15,0.08,2021,4.8,4.7
16,0.08,2021,5.2,4.7
17,0.08,2021,5.4,4.7
18,0.08,2021,5.9,4.7
19,0.08,2021,5.8,4.7
20,0.08,2021,6.1,4.7
21,0.08,2021,6.1,4.7
22,0.08,2021,6.2,4.7
23,0.08,2021,6.3,4.7
24,0.08,2021,3.9,4.7
25,0.08,2021,4.2,4.7
26,0.08,2021,4.5,4.7
27,0.08,2021,4.8,4.7
28,0.08,2021,5.2,4.7
29,0.08,2021,5.4,4.7
30,0.08,2021,5.9,4.7
31,0.08,2021,5.8,4.7
32,0.08,2021,6.1,4.7
33,0.08,2021,6.1,4.7
34,0.08,2021,6.2,4.7
35,0.08,2021,6.3,4.7
36,0.08,2021,3.9,4.7
37,0.08,2021,4.2,4.7
38,0.08,2021,4.5,4.7
39,0.08,2021,4.8,4.7
40,0.08,2021,5.2,4.7
41,0.08,2021,5.4,4.7
42,0.08,2021,5.9,4.7
43,0.08,2021,5.8,4.7
44,0.08,2021,6.1,4.7
45,0.08,2021,6.1,4.7
46,0.08,2021,6.2,4.7
47,0.08,2021,6.3,4.7
48,0.09,2021,3.9,4.7
49,0.09,2021,4.2,4.7
50,0.09,2021,4.5,4.7
51,0.09,2021,4.8,4.7
52,0.09,2021,5.2,4.7
53,0.09,2021,5.4,4.7
54,0.09,2021,5.9,4.7
55,0.09,2021,5.8,4.7
56,0.09,2021,6.1,4.7
57,0.09,2021,6.1,4.7
58,0.09,2021,6.2,4.7
59,0.09,2021,6.3,4.7
60,0.1,2021,3.9,4.7
61,0.1,2021,4.2,4.7
62,0.1,2021,4.5,4.7
63,0.1,2021,4.8,4.7
64,0.1,2021,5.2,4.7
65,0.1,2021,5.4,4.7
66,0.1,2021,5.9,4.7
67,0.1,2021,5.8,4.7
68,0.1,2021,6.1,4.7
69,0.1,2021,6.1,4.7
70,0.1,2021,6.2,4.7
71,0.1,2021,6.3,4.7
72,0.08,2021,3.9,4.7
73,0.08,2021,4.2,4.7
74,0.08,2021,4.5,4.7
75,0.08,2021,4.8,4.7
76,0.08,2021,5.2,4.7
77,0.08,2021,5.4,4.7
78,0.08,2021,5.9,4.7
79,0.08,2021,5.8,4.7
80,0.08,2021,6.1,4.7
81,0.08,2021,6.1,4.7
82,0.08,2021,6.2,4.7
83,0.08,2021,6.3,4.7
84,0.06,2021,3.9,4.7
85,0.06,2021,4.2,4.7
86,0.06,2021,4.5,4.7
87,0.06,2021,4.8,4.7
88,0.06,2021,5.2,4.7
89,0.06,2021,5.4,4.7
90,0.06,2021,5.9,4.7
91,0.06,2021,5.8,4.7
92,0.06,2021,6.1,4.7
93,0.06,2021,6.1,4.7
94,0.06,2021,6.2,4.7
95,0.06,2021,6.3,4.7
96,0.07,2021,3.9,4.7
97,0.07,2021,4.2,4.7
98,0.07,2021,4.5,4.7
99,0.07,2021,4.8,4.7
100,0.07,2021,5.2,4.7
101,0.07,2021,5.4,4.7
102,0.07,2021,5.9,4.7
103,0.07,2021,5.8,4.7
104,0.07,2021,6.1,4.7
105,0.07,2021,6.1,4.7
106,0.07,2021,6.2,4.7
107,0.07,2021,6.3,4.7
108,0.07,2021,3.9,4.7
109,0.07,2021,4.2,4.7
110,0.07,2021,4.5,4.7
111,0.07,2021,4.8,4.7
112,0.07,2021,5.2,4.7
113,0.07,2021,5.4,4.7
114,0.07,2021,5.9,4.7
115,0.07,2021,5.8,4.7
116,0.07,2021,6.1,4.7
117,0.07,2021,6.1,4.7
118,0.07,2021,6.2,4.7
119,0.07,2021,6.3,4.7
120,0.08,2021,3.9,4.7
121,0.08,2021,4.2,4.7
122,0.08,2021,4.5,4.7
123,0.08,2021,4.8,4.7
124,0.08,2021,5.2,4.7
125,0.08,2021,5.4,4.7
126,0.08,2021,5.9,4.7
127,0.08,2021,5.8,4.7
128,0.08,2021,6.1,4.7
129,0.08,2021,6.1,4.7
130,0.08,2021,6.2,4.7
131,0.08,2021,6.3,4.7
132,0.09,2021,3.9,4.7
133,0.09,2021,4.2,4.7
134,0.09,2021,4.5,4.7
135,0.09,2021,4.8,4.7
136,0.09,2021,5.2,4.7
137,0.09,2021,5.4,4.7
138,0.09,2021,5.9,4.7
139,0.09,2021,5.8,4.7
140,0.09,2021,6.1,4.7
141,0.09,2021,6.1,4.7
142,0.09,2021,6.2,4.7
143,0.09,2021,6.3,4.7
144,0.09,2020,6.7,1.23
